timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1776784427013,109,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,109,0,0
1776784427122,85,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,85,0,0
1776784427208,6,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,6,0,0
1776784427215,13,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,13,0,0
1776784427228,48,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,48,0,0
1776784427277,17,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,17,0,0
1776784427294,50,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,50,0,0
1776784427345,20,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,20,0,0
1776784427365,52,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,52,0,0
1776784427418,34,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,34,0,0
1776784427452,53,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,53,0,0
1776784427506,23,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,23,0,0
1776784427530,49,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,49,0,0
1776784427580,16,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,16,0,0
1776784427596,51,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,51,0,0
1776784427648,16,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,16,0,0
1776784427665,51,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,51,0,0
1776784427716,21,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,21,0,0
1776784427737,50,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,50,0,0
1776784427787,18,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,18,0,0
1776784427805,51,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,51,0,0
1776784427857,30,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,30,0,0
1776784427887,51,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,51,0,0
1776784427939,37,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,37,0,0
1776784427976,52,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,52,0,0
1776784428029,25,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,25,0,0
1776784428054,47,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,47,0,0
1776784428101,9,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,9,0,0
1776784428110,50,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,50,0,0
1776784428160,60,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,60,0,0
1776784428221,4,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,4,0,0
1776784428226,8,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,8,0,0
1776784428234,50,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,50,0,0
1776784428285,18,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,18,0,0
1776784428303,49,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,49,0,0
1776784428353,16,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,16,0,0
1776784428370,49,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,49,0,0
1776784428420,35,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,35,0,0
1776784428455,50,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,50,0,0
1776784428506,27,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,27,0,0
1776784428534,52,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,52,0,0
1776784428586,17,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,17,0,0
1776784428604,47,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,47,0,0
1776784428652,16,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,16,0,0
1776784428669,51,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,51,0,0
1776784428721,18,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,18,0,0
1776784428739,49,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,49,0,0
1776784428788,17,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,17,0,0
1776784428806,51,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,51,0,0
1776784428857,20,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,20,0,0
1776784428877,52,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,52,0,0
1776784428929,20,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,20,0,0
1776784428950,49,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,49,0,0
1776784429000,18,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,18,0,0
1776784429018,50,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,50,0,0
1776784429069,19,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,19,0,0
1776784429089,44,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,44,0,0
1776784429133,11,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67142,0,1,1,http://localhost:8000/fhir/Observation,11,0,0
1776784429145,50,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,50,0,0
1776784429196,21,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,21,0,0
1776784429218,47,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,47,0,0
1776784429266,8,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,8,0,0
1776784429274,49,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,49,0,0
1776784429323,16,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,16,0,0
1776784429339,47,/auth/token,200,OK,Clinician Users 1-1,text,true,,233,0,1,1,http://localhost:8000/auth/token,47,0,0
1776784429387,15,/fhir/Observation,200,OK,Clinician Users 1-1,text,true,,67484,0,1,1,http://localhost:8000/fhir/Observation,15,0,0
